icao24,firstSeen,estDepartureAirport,lastSeen,estArrivalAirport,callsign,estDepartureAirportHorizDistance,estDepartureAirportVertDistance,estArrivalAirportHorizDistance,estArrivalAirportVertDistance,departureAirportCandidatesCount,arrivalAirportCandidatesCount
4b17fe,1749416059,LSZH,1749418185,LSGG,SWR96B  ,1475,96,4034.0,27.0,1,2
502d79,1749415683,LSZH,1749419703,LFPG,SWR759G ,1353,96,2616.0,5.0,1,8
4b19f3,1749415262,LSZH,1749417900,LIMC,SWR3XV  ,1537,96,2179.0,5.0,1,4
502cce,1749414931,LSZH,1749422155,EYVI,SWR1338 ,1485,96,913.0,46.0,1,2
501dc5,1749414270,LSZH,1749420316,LDPL,CTN465  ,1218,96,4295.0,106.0,1,1
4b0293,1749414126,LSZH,1749416961,LIRQ,SWR880E ,1161,88,18346.0,848.0,1,1
4b17e6,1749413947,LSZH,1749417096,LKPR,SWR5BW  ,1172,88,1298.0,60.0,1,8
407f7a,1749413464,LSZH,1749420387,EGCC,EZY62QG ,499,96,643.0,55.0,1,1
4b181b,1749413387,LSZH,1749420006,LEVC,SWR4MW  ,1476,88,1932.0,42.0,1,0
4b194c,1749412957,LSZH,1749420651,LGAV,SWR7MV  ,1363,88,29686.0,1239.0,1,0
4b1818,1749412951,LSZH,1749417992,LEBL,SWR3QA  ,1348,88,844.0,72.0,1,1
44061c,1749412848,LSZH,1749417275,LIRF,EJU87HP ,1211,88,6822.0,72.0,1,4
400db2,1749412541,LSZH,1749418760,EGGW,EZY27EP ,491,96,2014.0,0.0,1,5
502d59,1749412500,LSZH,1749421317,EETN,SWR53Q  ,1476,96,654.0,59.0,1,1
4b161b,1749412357,LSZH,1749417987,EKCH,SWR44X  ,1434,88,2284.0,116.0,1,0
502d29,1749412115,LSZH,1749419404,LROP,SWR1886 ,1459,88,1683.0,87.0,1,2
4b169a,1749411978,LSZH,1749416354,EDDB,SWR558F ,2255,88,2259.0,35.0,1,3
4402ac,1749411767,LSZH,1749420409,LPPR,EJU74TQ ,1345,88,3159.0,60.0,1,2
4b194e,1749411464,LSZH,1749419196,ESSA,SWR1KV  ,1475,88,574.0,64.0,1,0
4b19f2,1749411364,LSZH,1749414190,EDDM,SWR1108 ,2526,88,2252.0,34.0,1,3
4b0294,1749411300,LSZH,1749419009,ENGM,SWR39M  ,1454,88,2735.0,135.0,1,1
4b1698,1749411000,LSZH,1749421199,LPPT,SWR755L ,1407,88,1626.0,37.0,1,4
738068,1749410947,LSZH,1749423109,LLSD,ELY344  ,304,88,14476.0,1312.0,1,3
4b161a,1749410917,LSZH,1749417120,LICJ,SWR1748 ,1795,88,12748.0,475.0,1,1
440cb1,1749410703,LSZH,1749415489,EDDB,EJU31FK ,1253,88,2262.0,35.0,1,3
4b194b,1749410644,LSZH,1749420258,LEMG,SWR2120 ,1518,88,3594.0,67.0,1,0
4b17f9,1749410310,LSZH,1749415129,EHAM,SWR736  ,1159,81,6115.0,57.0,1,0
4b17e1,1749410281,LSZH,1749412126,LSGG,SWR4TH  ,1047,88,5153.0,88.0,1,2
440582,1749409951,LSZH,1749417583,LEAL,EJU94EM ,1243,81,3017.0,32.0,1,1
405d11,1749409471,LSZH,1749414990,EGKK,EZY85UP ,489,88,2228.0,8.0,1,3
4b180b,1749409424,LSZH,1749415103,EGLL,SWR24C  ,708,88,2600.0,17.0,1,5
4c01e2,1749409322,LSZH,1749414783,LYBE,ASL86N  ,671,81,1131.0,10.0,1,3
040133,1749409115,LSZH,1749412047,LIMC,ETH737  ,558,81,656.0,28.0,1,4
44001f,1749408964,LSZH,1749418609,LPPT,EJU38HN ,1239,81,3076.0,46.0,1,4
3c54a4,1749408724,LSZH,1749412969,EDDH,EWG97MT ,1379,81,1536.0,44.0,1,3
4ca836,1749408660,LSZH,1749416733,EIDW,EIN34Y  ,440,88,662.0,66.0,1,4
4b18f5,1749408368,LSZH,1749423499,LPPD,EDW27N  ,1471,81,4492.0,65.0,1,0
3c56ec,1749408120,LSZH,1749412582,EDDB,EWG7LL  ,1484,81,2273.0,43.0,1,3
406231,1749408031,LSZH,1749413442,EGLC,CFE8768 ,520,88,2069.0,78.0,1,5
4d2415,1749407982,LSZH,1749411213,EDDK,EWG769  ,1483,81,2038.0,53.0,1,2
484b31,1749407820,LSZH,1749412975,EHAM,KLM88B  ,1394,81,5001.0,57.0,1,0
4aca6c,1749407296,LSZH,1749413317,EKCH,SAS89B  ,1374,81,1809.0,93.0,1,0
3c5ee2,1749407227,LSZH,1749411197,EDDL,EWG66V  ,1483,81,1361.0,44.0,1,4
48adb9,1749407134,LSZH,1749412610,EPWA,LOT3EM  ,1178,81,1535.0,49.0,1,1
3c6637,1749405876,LSZH,1749408868,EDDF,DLH7C   ,1317,81,2286.0,11.0,1,5
4ca783,1749405421,LSZH,1749409739,LIRF,ITY573  ,1489,81,6271.0,49.0,1,4
73805c,1749405127,LSZH,1749418223,LLBG,ELY848  ,2259,81,1806.0,27.0,1,4
344648,1749404645,LSZH,1749411879,LEMD,IBE06DA ,1202,73,2705.0,29.0,1,3
3cc13a,1749404611,LSZH,1749406684,EDDS,DCAMC   ,1412,73,608.0,91.0,1,6
